year,urban_percent
2004,21.97004038653994
2005,22.45966290490375
2006,22.91177429057315
2007,23.238889137380884
2008,23.826914481128973
2009,24.436604268808296
2010,24.67205295861149
2011,24.872236071846853
2012,25.103704832905382
2013,25.45343346444583
2014,25.872439632422562
2015,26.133599635599204
2016,26.353372031142047
2017,26.818165636236348
2018,27.13624348887614
2019,27.49237408530863
