year,rainfall,temperature,population,built_up_area,NO2_density
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.20394675813357044
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.2163105365814057
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.24101177734403434
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.23051810832032554
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.21036000814789313
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.2006175991279491
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.23074798015527614
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.26824317544345905
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.19664588809806724
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.15354136173366587
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.20368410132204798
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.24694710714037904
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.24379161025563312
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.25420930219560917
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.16531960308312832
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.21160402427909344
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.21833308809141655
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.27552993201014797
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.27620622918926563
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.19185834000406826
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.21534773998069273
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.2434031092343541
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.18475999894519635
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.1986785392840982
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.13241133151760273
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.1747428042866024
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.2577717979237956
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.11322871239421797
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.1869762913080252
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.34799895375141865
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.23135328910201652
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.2778104883160759
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.280482216085797
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.23530082240479006
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.2231093044934594
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.17993242743443572
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.2412745750791198
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.24216741087632754
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.20517114881054532
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.21799189447085082
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.35830687125789
2018,0.013315908019809902,0.03847996788508823,0.0,0.0,0.27729038027643943
