Year,NDVI
2004,0.388030888
2005,0.377791517
2006,0.386297009
2007,0.402114711
2008,0.408192531
2009,0.360695979
2010,0.4165767
2011,0.412538618
2012,0.393647701
2013,0.416299482
2014,0.387675332
2015,0.400047286
2016,0.405527584
2017,0.387759314
2018,0.402404889
2019,0.382413566
2020,0.428881063
2021,0.432779626
2022,0.424337919
2023,0.427079624
