date,NDVI
2013-03-21 04:56:55.357,0.2311096545903043
2013-04-08 05:02:19.252,0.18496425942007036
2013-04-15 05:00:19.998,0.1678420199640657
2013-05-01 05:00:17.915,0.2177704020910296
2013-05-17 05:00:30.276,0.24662542194260204
2013-06-02 05:00:33.842,0.060982406030583025
2013-06-18 05:00:27.424,0.2856577493277346
2013-07-04 05:00:29.575,0.06849407547529802
2013-08-05 05:00:31.331,0.11373037067252224
2013-08-21 05:00:32.711,0.3270215128912239
2013-09-06 05:00:32.486,0.2278421855118331
2013-09-22 05:00:25.626,0.3208959829834367
2013-10-08 05:00:23.998,0.04651133003061992
2013-11-09 05:00:15.277,0.31906044892214297
2013-11-25 05:00:06.716,0.24414296472984556
2013-12-11 05:00:05.933,0.23486060154310615
2013-12-27 04:59:56.795,0.15612576517467058
2014-01-12 04:59:43.904,0.21249079494124679
2014-01-28 04:59:36.889,0.2110504168001643
2014-02-13 04:59:22.169,0.2176373398744789
2014-03-01 04:59:08.647,0.24101195728724328
2014-03-17 04:58:59.472,0.2622847353752847
2014-04-02 04:58:43.245,0.23404140041218302
2014-04-18 04:58:25.774,0.24733072456030278
2014-05-04 04:58:10.956,0.11141893491318232
2014-05-20 04:58:01.450,0.23966982964188657
2014-06-05 04:58:09.396,0.26504287452955605
2014-06-21 04:58:13.581,0.27849669242448805
2014-07-07 04:58:20.609,0.30573330752713357
2014-07-23 04:58:23.253,0.10026223624733331
2014-08-08 04:58:32.520,0.13893482111456532
2014-08-24 04:58:35.455,0.04072640193336741
2014-09-09 04:58:39.254,0.34080769216808665
2014-09-25 04:58:35.293,0.21685472077666382
2014-10-11 04:58:43.194,0.02800576143697803
2014-10-27 04:58:42.207,0.09932856383311553
2014-11-28 04:58:42.488,0.11734623744946814
2014-12-14 04:58:36.425,0.23502820436632002
2015-01-15 04:58:32.433,0.22226121736509574
2015-01-31 04:58:27.889,0.21739961113328424
2015-02-16 04:58:19.226,0.25583433188460264
2015-03-20 04:58:05.046,0.24633736377102738
2015-04-05 04:57:53.332,0.23035041083587401
2015-04-21 04:57:52.567,0.24133783860631627
2015-05-07 04:57:37.443,0.23579822397314984
2015-05-23 04:57:34.162,0.11515239341158934
2015-06-08 04:57:43.851,0.2096602649597463
2015-06-24 04:57:50.012,0.2965643039581208
2015-07-10 04:58:00.939,0.23092226646789707
2015-07-26 04:58:06.942,0.1419266474641637
2015-08-11 04:58:10.991,0.10797764405612652
2015-08-27 04:58:18.226,0.058607625826403546
2015-09-12 04:58:25.060,0.07741007424804776
2015-09-28 04:58:31.133,0.20582538781682216
2015-10-14 04:58:31.037,0.3196043504558145
2015-10-30 04:58:37.139,0.09958403148317779
2015-12-17 04:58:38.918,0.23893375259468083
2016-01-02 04:58:36.684,0.17160066129001605
2016-01-18 04:58:35.883,0.1788398137614886
2016-02-03 04:58:33.180,0.21253386077952305
2016-02-19 04:58:23.937,0.18380164259207646
2016-03-06 04:58:23.678,0.22682473344086715
2016-03-22 04:58:16.678,0.186952249125178
2016-04-07 04:58:08.598,0.18246730434314756
2016-04-23 04:58:01.892,0.24035351266965962
2016-05-09 04:58:04.788,0.1464595771122186
2016-05-25 04:58:08.279,0.2834935559900421
2016-06-10 04:58:12.101,0.3292348517646827
2016-06-26 04:58:18.726,0.055235420952105756
2016-07-12 04:58:26.715,0.30838831185679555
2016-07-28 04:58:31.169,0.3006242516465031
2016-08-13 04:58:33.421,0.21454498214598253
2016-08-29 04:58:40.812,0.30072020235656366
2016-09-30 04:58:44.575,0.31710256240751106
2016-10-16 04:58:50.632,0.2691039200250147
2016-11-01 04:58:51.631,0.2178143573437905
2016-11-17 04:58:51.024,0.19866537714602492
2016-12-03 04:58:50.259,0.1114529414669449
2016-12-19 04:58:45.458,0.24025453153326598
2017-01-04 04:58:42.893,0.1771627928844781
2017-01-20 04:58:38.577,0.12261934165293292
2017-02-05 04:58:31.001,0.13193684533709799
2017-02-21 04:58:25.201,0.21373609474022215
2017-03-09 04:58:17.823,0.13245038463448802
2017-03-25 04:58:07.760,0.22636587408123857
2017-04-10 04:58:00.947,0.2070512172896343
2017-04-26 04:57:50.592,0.19862259797846477
2017-05-12 04:57:54.370,0.2203022740029723
2017-05-28 04:58:04.910,0.12119077856330217
2017-06-13 04:58:12.284,0.18020787821439885
2017-06-29 04:58:17.001,0.2330804008987971
2017-07-15 04:58:20.061,0.09467869110854212
2017-07-31 04:58:28.127,0.03236360195023723
2017-08-16 04:58:33.853,0.2458996904082342
2017-09-01 04:58:37.001,0.00962191250351757
